Name,lemon_pred,lemon_sigma,jname,gt_bSIE,gt_qSIE,Auger_Imag,Auger_ReI,our_native,our_euclid
ID4000770533851_MID062493293_GID00000_F814W_G_SLACS_SDSS_J0029-0055,0.9859550569346284,0.3360755185063295,J0029-0055,0.96,0.89,17.05,2.16,0.936198919342041,0.9490909403699238
ID4000777418567_MID008148646_GID00000_F814W_G_SLACS_SDSS_J0822+2652,2.1165729020755557,0.74172944515538,J0822+2652,1.17,0.88,16.94,1.82,1.4139655860087075,1.312190940369924
ID4000781307328_MID059771570_GID00000_F814W_G_SLACS_SDSS_J0728+3835,1.718075054952569,0.4421776817345526,J0728+3835,1.25,0.85,16.62,1.78,1.170698919342041,1.1911576070365908
ID4000791511901_MID044690897_GID00000_F814W_G_SLACS_SDSS_J1153+4612,2.0011626786584973,1.2078906152580189,J1153+4612,1.05,0.77,17.15,1.16,1.0326655860087075,1.0492909403699242
ID4000808873822_MID079649034_GID00000_F814W_G_SLACS_SDSS_J0216-0813,1.709611762458391,0.73737037636714,J0216-0813,1.16,0.79,16.86,2.4,1.143998919342041,1.120990940369924
ID4000831353049_MID055914905_GID00000_F814W_G_SLACS_SDSS_J1416+5136,1.4694645944226072,0.2078484400937194,J1416+5136,1.37,0.94,17.55,0.98,1.3582989193420407,1.2676242737032575
ID4000889908097_MID063133432_GID00000_F814W_G_SLACS_SDSS_J2341+0000,1.043597370001161,0.4352560746977145,J2341+0000,1.44,0.76,16.3,2.36,1.3903655860087074,1.3611576070365907
ID4000917656618_MID058908438_GID00000_F814W_G_SLACS_SDSS_J1525+3327,1.781779098680772,0.8071469619261535,J1525+3327,1.31,0.51,17.07,2.42,1.5897655860087077,1.3246576070365905
ID4000930875539_MID107066182_GID00000_F814W_G_SLACS_SDSS_J0956+5100,1.211699504893199,0.1473500868343632,J0956+5100,1.33,0.63,16.66,2.19,1.3356989193420405,1.3036909403699237
ID4000940863217_MID020761204_GID00000_F814W_G_SLACS_SDSS_J1103+5322,1.61690630309399,0.6428966554201224,J1103+5322,1.02,0.52,16.41,2.85,1.0505655860087075,1.0434242737032573
SID4000966853040_MID010065988_GID00000_F814W_G_SLACS_SDSS_J1023+4230,1.9159575016013823,0.9669136416366476,J1023+4230,1.41,0.87,16.74,1.77,1.3742989193420407,1.3149576070365905
SID4000990809209_MID106996532_GID00000_F814W_G_SLACS_SDSS_J0903+4116,2.0217079570669263,1.1364779658777222,J0903+4116,1.29,0.9,17.91,1.78,1.2701655860087078,1.2729242737032571
SID4001067611002_MID104089473_GID00000_F814W_G_SLACS_SDSS_J0841+3824,2.0989615668411803,0.549907866492854,J0841+3824,1.41,0.79,15.27,4.21,0.5956322526753742,0.8486576070365907
SID4001124010035_MID001031873_GID00000_F814W_G_SLACS_SDSS_J1430+4105,1.5224392287398956,0.3189403072287344,J1430+4105,1.52,0.68,16.85,2.55,1.6575655860087073,1.5180242737032574
SID4001142337170_MID067746695_GID00000_F814W_G_SLACS_SDSS_J1630+4520,1.9467906874058412,0.776690230148613,J1630+4520,1.78,0.87,16.77,1.65,1.7297989193420409,1.422890940369924
SID4001147224606_MID012116091_GID00000_F814W_G_SLACS_SDSS_J0330-0020,0.6873781318978262,0.1847518537328169,J0330-0020,1.1,0.81,17.99,0.91,1.1034655860087073,1.0927576070365905
SID4001165154927_MID012502513_GID00000_F814W_G_SLACS_SDSS_J1213+6708,2.178968940152151,0.8258163308553191,J1213+6708,1.42,0.83,15.57,1.5,1.5166655860087075,1.3970242737032574
SID4001169151980_MID049873087_GID00000_F814W_G_SLACS_SDSS_J0912+0029,1.7185988825883896,0.6914358957227748,J0912+0029,1.63,0.56,15.52,4.01,1.5529322526753742,1.529190940369924
SID4001237747188_MID029991702_GID00000_F814W_G_SLACS_SDSS_J0737+3216,1.022176830550399,0.0802974929187835,J0737+3216,1.0,0.67,16.95,1.8,0.962998919342041,0.9792909403699239
SID4001300091632_MID070445795_GID00000_F814W_G_SLACS_SDSS_J0252+0039,1.02451999803316,0.0832290530209438,J0252+0039,1.04,0.93,17.87,1.39,1.0138655860087074,1.0141909403699239
SID4001307085455_MID006013002_GID00000_F814W_G_SLACS_SDSS_J0959+0410,1.1325339650464843,0.1655881610237244,J0959+0410,0.99,0.86,16.87,1.29,1.0739989193420407,1.0456576070365906
SID4001312789515_MID052523861_GID00000_F814W_G_SLACS_SDSS_J0946+1006,1.3394243367318432,0.0449106745038063,J0946+1006,1.38,0.81,17.04,2.35,1.3970655860087073,1.3982242737032573
SID4001413837968_MID033294183_GID00000_F814W_G_SLACS_SDSS_J1627-0053,1.415179263028104,0.3376760476879353,J1627-0053,1.23,0.91,16.71,1.98,1.219098919342041,1.2141576070365905
SID4001414973166_MID042611032_GID00000_F814W_G_SLACS_SDSS_J1250+0523,1.4329060877959114,0.7877141874172546,J1250+0523,1.13,0.96,16.64,1.32,1.153298919342041,1.1633576070365907
SID4001414974694_MID098953717_GID00000_F814W_G_SLACS_SDSS_J2238-0754,1.5328824562812944,0.4980886986363209,J2238-0754,1.27,0.85,16.12,1.82,1.2705989193420408,1.2674576070365906
SID4001415925883_MID062058602_GID00000_F814W_G_SLACS_SDSS_J1205+4910,1.307415463709091,0.078239097557965,J1205+4910,1.22,0.7,16.52,1.79,1.2114322526753742,1.321890940369924
